dataset,dataset_desc,dataset_n_samples,dataset_n_dims,run_index,finder_runtime_s,mean_f1,mean_lift_precision,total_regions,per_class,valuable_counts,params_json
corner,Corner 4D dataset canonico,200,4,0,0.066168,0.528191,1.704659,31,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7718947718942774, ""mean_lift_precision"": 1.03315797863861}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 11, ""2"": 11, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.007799726016810133, ""min_abs_gain_prec"": 0.04330880728874676, ""min_lift_prec"": 1.0326526087455978, ""min_rel_gain_f1"": 0.013325472594952485, ""min_support"": 10, ""rng_seed"": 769, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 102}"
corner,Corner 4D dataset canonico,200,4,1,0.072662,0.522419,1.702640,30,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 11, ""2"": 10, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 11, ""min_abs_gain_f1"": 0.00917022549267169, ""min_abs_gain_prec"": 0.026237821581611892, ""min_lift_prec"": 1.1286544747542198, ""min_rel_gain_f1"": 0.01536417240936095, ""min_support"": 7, ""rng_seed"": 8666, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 98}"
corner,Corner 4D dataset canonico,200,4,2,0.041152,0.551692,1.662398,16,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 8, ""2"": 8}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 8, ""min_abs_gain_f1"": 0.023338144662399, ""min_abs_gain_prec"": 0.03401537692938899, ""min_lift_prec"": 1.345376758627165, ""min_rel_gain_f1"": 0.07867523997873627, ""min_support"": 12, ""rng_seed"": 8433, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 138}"
corner,Corner 4D dataset canonico,200,4,3,0.065825,0.534709,1.672202,20,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 2, ""mean_f1"": 0.8061938061933118, ""mean_lift_precision"": 1.0294117647058822}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 10, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.022007624686980067, ""min_abs_gain_prec"": 0.02475884550556351, ""min_lift_prec"": 1.0575949115894638, ""min_rel_gain_f1"": 0.055054409094460396, ""min_support"": 7, ""rng_seed"": 1585, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 130}"
corner,Corner 4D dataset canonico,200,4,4,0.075718,0.528191,1.704659,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7718947718942774, ""mean_lift_precision"": 1.03315797863861}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 7, ""2"": 7, ""3"": 7}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 7, ""min_abs_gain_f1"": 0.028385016390999575, ""min_abs_gain_prec"": 0.042114238729749925, ""min_lift_prec"": 1.022212184057668, ""min_rel_gain_f1"": 0.017427391366586917, ""min_support"": 11, ""rng_seed"": 7629, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 63}"
corner,Corner 4D dataset canonico,200,4,5,0.051826,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.03736600550686905, ""min_abs_gain_prec"": 0.029337558283192414, ""min_lift_prec"": 1.2204799316317412, ""min_rel_gain_f1"": 0.06771817404557397, ""min_support"": 13, ""rng_seed"": 8684, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 173}"
corner,Corner 4D dataset canonico,200,4,6,0.040157,0.551692,1.662398,12,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 6, ""2"": 6}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.038612238464832874, ""min_abs_gain_prec"": 0.00027610585618012, ""min_lift_prec"": 1.0874991157983271, ""min_rel_gain_f1"": 0.07896406799144087, ""min_support"": 14, ""rng_seed"": 391, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 130}"
corner,Corner 4D dataset canonico,200,4,7,0.073058,0.522419,1.702640,18,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 6, ""2"": 6, ""3"": 6}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.032553851275097224, ""min_abs_gain_prec"": 0.04250192888948997, ""min_lift_prec"": 1.3668342734620744, ""min_rel_gain_f1"": 0.07417776940255456, ""min_support"": 10, ""rng_seed"": 7215, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 82}"
corner,Corner 4D dataset canonico,200,4,8,0.040913,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 1, ""max_rules_per_dim"": 13, ""min_abs_gain_f1"": 0.03187787356776066, ""min_abs_gain_prec"": 0.023610746258097465, ""min_lift_prec"": 1.3560129696047674, ""min_rel_gain_f1"": 0.05863888808870706, ""min_support"": 10, ""rng_seed"": 1028, ""sample_limit_per_r"": 2000, ""union_max_pairs_per_bucket"": 50}"
corner,Corner 4D dataset canonico,200,4,9,0.072367,0.522419,1.702640,30,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 11, ""2"": 10, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.005544541040591567, ""min_abs_gain_prec"": 0.01008596011676981, ""min_lift_prec"": 1.1813412357276503, ""min_rel_gain_f1"": 0.05714236828517721, ""min_support"": 14, ""rng_seed"": 5116, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 101}"
