dim_k,target_class,region_id,dims,is_pareto,f1,precision,recall,lift_precision,support,min_lift_precision_all_classes,min_precision_all_classes,compass_score
2,2,rg_2d_c2_cff35757f0,"(1, 3)",False,0.5594927265941513,0.38839979285344384,1.0,3.1071983428275507,3862,0.5876057310547212,0.17089590885551528,1.0071244702142097
3,2,rg_3d_c2_c7797cfd07,"(0, 1, 3)",False,0.6306500215234543,0.46567069294342023,0.9766666666666667,3.725365543547362,3146,0.4094087730451367,0.051176096630642084,0.987123484676137
3,0,rg_3d_c0_2c5e65ac82,"(0, 1, 3)",False,0.5844514601416511,0.41507847533632286,0.9873333333333333,3.320627802690583,3568,0.49551569506726456,0.06193946188340807,0.9870565184809059
3,2,rg_3d_c2_337ffb6a73,"(0, 1, 3)",False,0.6291604036929281,0.46404814697497626,0.9766666666666667,3.71238517579981,3157,0.4054482103262591,0.05068102629078239,0.982011559464909
3,0,rg_3d_c0_0312985810,"(0, 1, 2)",True,0.6369285397243672,0.4773785761809714,0.9566666666666667,3.8190286094477712,3006,0.36194278110445777,0.04524284763805722,0.9584317233373122
3,0,rg_3d_c0_77599e028b,"(0, 1, 2)",True,0.6369285397243672,0.4773785761809714,0.9566666666666667,3.8190286094477712,3006,0.36194278110445777,0.04524284763805722,0.9584317233373122
1,1,rg_1d_c1_a79372895d,"(2,)",True,0.8571428571423673,0.75,1.0,1.0,12000,1.0,0.125,0.9499142515928155
2,2,rg_2d_c2_540b079fc8,"(0, 1)",True,0.45920710240282997,0.2980329823167097,1.0,2.3842638585336777,5033,0.742300814623485,0.09278760182793562,0.9332133647264714
2,2,rg_2d_c2_42e64289bc,"(2, 3)",True,0.4077241379307062,0.25704347826086954,0.9853333333333333,2.0563478260869563,5750,0.7206956521739131,0.20243478260869566,0.845418279524178
2,2,rg_2d_c2_3db5cfc174,"(1, 3)",True,0.6493506493502108,0.4807692307692308,1.0,3.8461538461538463,3120,0.24102564102564103,0.03012820512820513,0.8443510722966653
2,0,rg_2d_c0_262c7387b2,"(0, 2)",True,0.46027820710938105,0.29959758551307847,0.9926666666666667,2.3967806841046277,4970,0.5400402414486921,0.2953722334004024,0.8414434688282952
2,0,rg_2d_c0_aaeeffc6de,"(0, 2)",False,0.4511437660956949,0.29190354832385806,0.9926666666666667,2.3352283865908645,5101,0.5622426975102921,0.28641442854342286,0.8398261277008171
2,0,rg_2d_c0_78485e9a94,"(0, 2)",True,0.44722719141289063,0.2880184331797235,1.0,2.304147465437788,5208,0.5711725550435228,0.28360215053763443,0.8380474344006239
2,0,rg_2d_c0_79202a947c,"(0, 2)",False,0.4314063848141569,0.27502750275027504,1.0,2.2002200220022003,5454,0.6065273193986065,0.2700770077007701,0.8318934075683498
2,2,rg_2d_c2_22fa8aa897,"(0, 3)",True,0.4013377926418196,0.2510460251046025,1.0,2.00836820083682,5975,0.6770432357043236,0.2411715481171548,0.817190418396399
4,0,rg_4d_c0_077c8a368f,"(0, 1, 2, 3)",False,0.6292134831456249,0.4698914116485686,0.952,3.759131293188549,3039,0.22902270483711748,0.028627838104639685,0.8151821938633057
