mode,max_planes,beam_width,max_candidates_per_class,max_rules_per_class,min_size,lift_min,elapsed_s,total_rules,combos_per_sec,classes,dims
base,10,36,900,720,2,0.50,2.7370,51,18.63,3,6
base,10,48,900,720,2,0.50,3.6350,66,18.16,3,6
base,10,48,600,720,2,0.50,3.6981,66,17.85,3,6
base,10,36,600,720,2,0.50,2.8827,51,17.69,3,6
hessian_rank,10,48,600,720,2,0.50,3.8029,65,17.09,3,6
hessian_rank,10,48,900,720,2,0.50,3.8802,65,16.75,3,6
hessian_rank,10,36,900,720,2,0.50,3.1565,47,14.89,3,6
base,12,36,600,720,2,0.50,3.4363,51,14.84,3,6
hessian_rank,10,36,600,720,2,0.50,3.1989,47,14.69,3,6
hessian_rank,12,48,900,720,2,0.50,4.4933,66,14.69,3,6
base,12,48,600,720,2,0.50,4.5194,66,14.60,3,6
hessian_rank,12,48,600,720,2,0.50,4.6691,66,14.14,3,6
hessian_rank,12,36,900,720,2,0.50,3.4055,48,14.09,3,6
base,12,48,900,720,2,0.50,4.7225,66,13.98,3,6
hessian_rank,12,36,600,720,2,0.50,3.4513,48,13.91,3,6
base,12,36,900,720,2,0.50,3.7328,51,13.66,3,6
