Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(area error, compactness error)",No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.849577
"(area error, compactness error, mean area)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.869455
"(area error, compactness error, mean concave points)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.904911
"(area error, compactness error, mean perimeter)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.869455
"(area error, concave points error)",No,Si,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,0.845783
"(area error, concave points error, mean area)",No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.882108
"(area error, concave points error, mean concave points)",No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.911907
"(area error, concave points error, mean concavity)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.90706
"(area error, concave points error, mean perimeter)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.878915
"(area error, concave points error, mean texture)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.855025
"(area error, concavity error)",No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.859577
"(area error, concavity error, mean area)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,0.888206
"(area error, concavity error, mean concave points)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.904911
"(area error, concavity error, mean perimeter)",No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,0.885678
"(area error, concavity error, mean radius)",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,0.881794
"(area error, mean area)",Si,Si,Si,No,Si,Si,Si,Si,No,Si,No,No,No,No,Si,No,No,Si,No,No,Si,No,0.884302
"(area error, mean area, mean compactness)",No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,0.901136
"(area error, mean area, mean concave points)",No,Si,No,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,No,No,No,No,No,Si,No,0.905313
"(area error, mean area, mean concavity)",No,Si,No,Si,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,0.897387
"(area error, mean area, mean fractal dimension)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.893635
"(area error, mean area, mean perimeter)",Si,Si,No,Si,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,Si,No,0.888898
"(area error, mean area, mean radius)",Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,0.892405
"(area error, mean area, mean smoothness)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.894065
"(area error, mean area, mean symmetry)",No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.884276
"(area error, mean area, mean texture)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,0.883138
"(area error, mean area, perimeter error)",No,No,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.892732
"(area error, mean area, radius error)",No,No,No,No,No,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,0.89211
"(area error, mean area, smoothness error)",No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.88788
"(area error, mean area, texture error)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.88788
"(area error, mean compactness)",No,Si,No,No,No,No,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,No,Si,No,0.887492
"(area error, mean compactness, mean concave points)",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.898067
"(area error, mean compactness, mean concavity)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,0.897429
"(area error, mean compactness, mean perimeter)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,0.905067
